K,n,seed,gamma,entropy_kappa,smoothing_tau,max_iter,minibatch_size,step_size,step_decay,regret_tolerance,record_every,certify_every,methods,full_batch_success,full_batch_time_s,full_batch_solve_time_s,full_batch_eta,full_batch_regret1,full_batch_regret2,full_batch_residual_norm,full_batch_objective,full_batch_iterations,full_batch_has_profile,full_batch_history_len,full_batch_best_residual_norm,full_batch_best_objective,full_batch_best_certificate_eta,full_batch_best_certificate_iteration,full_batch_error,minibatch_success,minibatch_time_s,minibatch_solve_time_s,minibatch_eta,minibatch_regret1,minibatch_regret2,minibatch_residual_norm,minibatch_objective,minibatch_iterations,minibatch_has_profile,minibatch_history_len,minibatch_best_residual_norm,minibatch_best_objective,minibatch_best_certificate_eta,minibatch_best_certificate_iteration,minibatch_error,eta_diff_minibatch_minus_full_batch,residual_diff_minibatch_minus_full_batch,time_ratio_minibatch_over_full_batch,x_l1_minibatch_minus_full_batch,y_l1_minibatch_minus_full_batch
30,20,302123,0.5,0.01,0.1,300,6,0.2,0.5,0.001,25,25,"full_batch,minibatch",False,7.054990958888084,7.046471500303596,0.014169014791940271,0.01336115260670967,0.014169014791940271,0.06883954626540217,0.002369441565013223,300,True,13,0.06883954626540217,0.002369441565013223,0.014169014791940271,300,,False,7.029020583257079,7.020277749747038,0.01416824175004705,0.013359392701007222,0.01416824175004705,0.06883733288544568,0.0023692891993908304,300,True,13,0.06883733288544568,0.0023692891993908304,0.01416824175004705,300,,-7.730418932205829e-07,-2.2133799564977297e-06,0.9963188647891481,4.6611252953410176e-05,4.5103864953349726e-05
100,20,1002123,0.5,0.01,0.1,300,10,0.2,0.5,0.001,25,25,"full_batch,minibatch",False,7.124355624895543,7.114478541072458,0.00939304628557136,0.00939304628557136,0.003910710513106097,0.04163370726712441,0.0008666827904023041,300,True,13,0.04163370726712441,0.0008666827904023041,0.00939304628557136,300,,False,7.133310334291309,7.123335584066808,0.009392976782212181,0.009392976782212181,0.003910662285296906,0.04163341105609724,0.0008666704580829799,300,True,13,0.04163341105609724,0.0008666704580829799,0.009392976782212181,300,,-6.950335917910166e-08,-2.962110271717555e-07,1.0012569149923503,2.338332922787595e-05,2.520563659338254e-05
30,20,302123,0.5,0.01,0.02,300,6,0.01,0.5,0.001,25,25,"full_batch,minibatch",False,7.07224337477237,7.0636253748089075,0.014192776631054782,0.013389855854733734,0.014192776631054782,0.06938436303509848,0.0024070949168931706,300,True,13,0.06938436303509848,0.0024070949168931706,0.014192776631054782,300,,False,7.015165540855378,7.006448165979236,0.014192732370023886,0.013389768440353722,0.014192732370023886,0.06938423797961926,0.00240708624000622,300,True,13,0.06938423797961926,0.00240708624000622,0.014192732370023886,300,,-4.4261030895942355e-08,-1.2505547922203597e-07,0.991929317064993,2.6364168388345877e-06,2.490521093675979e-06
100,20,1002123,0.5,0.01,0.02,300,10,0.01,0.5,0.001,25,25,"full_batch,minibatch",False,7.093175458256155,7.083257250022143,0.00939994974007935,0.00939994974007935,0.003913432046359966,0.04205977353526998,0.0008845122749190986,300,True,13,0.04205977353526998,0.0008845122749190986,0.00939994974007935,300,,False,7.11766487499699,7.10769229196012,0.00939994692830376,0.00939994692830376,0.003913433125304899,0.042059773806430126,0.0008845122863240329,300,True,13,0.042059773806430126,0.0008845122863240329,0.00939994692830376,300,,-2.8117755901391206e-09,2.711601429505883e-10,1.0034525322100034,1.238856538812727e-06,1.2412488021099066e-06
30,20,302123,0.5,0.01,0.02,300,6,0.05,0.5,0.001,25,25,"full_batch,minibatch",False,7.044374458026141,7.03588195797056,0.014187638744299236,0.013383762085544038,0.014187638744299236,0.06936485645073624,0.0024057416552156225,300,True,13,0.06936485645073624,0.0024057416552156225,0.014187638744299236,300,,False,8.246470499783754,8.234731666278094,0.014187417573569172,0.013383325074170338,0.014187417573569172,0.06936423162443668,0.002405698314424251,300,True,13,0.06936423162443668,0.002405698314424251,0.014187417573569172,300,,-2.2117073006366894e-07,-6.248262995611764e-07,1.1706462438815959,1.3176039693786612e-05,1.2447427342549e-05
100,20,1002123,0.5,0.01,0.02,300,10,0.05,0.5,0.001,25,25,"full_batch,minibatch",False,7.52890112483874,7.517881458159536,0.009398380078038893,0.009398380078038893,0.0039128053964271325,0.04205026167124453,0.0008841122533100684,300,True,13,0.04205026167124453,0.0008841122533100684,0.009398380078038893,300,,False,7.2849452081136405,7.273162750061601,0.009398366017140669,0.009398366017140669,0.003912810791682708,0.04205026304280298,0.0008841123109844611,300,True,13,0.04205026304280298,0.0008841123109844611,0.009398366017140669,300,,-1.4060898223533513e-08,1.3715584501472478e-09,0.9675974072869333,6.193513409170903e-06,6.205122350798342e-06
30,20,302123,0.5,0.01,0.02,300,6,0.2,0.5,0.001,25,25,"full_batch,minibatch",False,7.319409916177392,7.3108751671388745,0.014168403830656151,0.013360922941492492,0.014168403830656151,0.06929186283629482,0.002400681127661948,300,True,13,0.06929186283629482,0.002400681127661948,0.014168403830656151,300,,False,7.09019958274439,7.081429916899651,0.01416752115631481,0.013359175812123536,0.01416752115631481,0.06928937027481402,0.0024005084165401405,300,True,13,0.06928937027481402,0.0024005084165401405,0.01416752115631481,300,,-8.826743413403726e-07,-2.492561480799127e-06,0.9686845885039994,5.261366160397296e-05,4.971216206439699e-05
100,20,1002123,0.5,0.01,0.02,300,10,0.2,0.5,0.001,25,25,"full_batch,minibatch",False,7.17279600026086,7.162760625127703,0.009392500177659191,0.009392500177659191,0.003910459016044587,0.04201463424001561,0.0008826147451611459,300,True,13,0.04201463424001561,0.0008826147451611459,0.009392500177659191,300,,False,7.417435667011887,7.40738237509504,0.009392443903556424,0.009392443903556424,0.003910480604958799,0.042014639962230226,0.0008826149855779165,300,True,13,0.042014639962230226,0.0008826149855779165,0.009392443903556424,300,,-5.6274102766540324e-08,5.722214618808508e-09,1.0341065975865102,2.4762511481549176e-05,2.480368316875453e-05
30,20,302123,0.5,0.01,0.005,300,6,0.01,0.5,0.001,25,25,"full_batch,minibatch",False,7.189167249947786,7.180398874916136,0.014192683119725436,0.013389845230605935,0.014192683119725436,0.07114053996017349,0.00253048821291252,300,True,13,0.07114053996017349,0.00253048821291252,0.014192683119725436,300,,False,7.229476457927376,7.220412791706622,0.0141926239979131,0.013389776696308753,0.0141926239979131,0.07114036232887484,0.0025304755761417974,300,True,13,0.07114036232887484,0.0025304755761417974,0.0141926239979131,300,,-5.912181233469482e-08,-1.776312986423445e-07,1.0056069370176195,3.8021224886830574e-06,3.5801733781898326e-06
100,20,1002123,0.5,0.01,0.005,300,10,0.01,0.5,0.001,25,25,"full_batch,minibatch",False,7.174212542362511,7.162422708235681,0.009399901876453787,0.009399901876453787,0.003913404253946595,0.04300745896510052,0.0009248207633174025,300,True,13,0.04300745896510052,0.0009248207633174025,0.009399901876453787,300,,False,7.246516041923314,7.236059917137027,0.00939989534050889,0.00939989534050889,0.003913413480909678,0.04300746438255224,0.0009248209963082499,300,True,13,0.04300746438255224,0.0009248209963082499,0.00939989534050889,300,,-6.535944896413071e-09,5.417451723332967e-09,1.010078248885695,2.0826854831706987e-06,2.160175376755835e-06
