risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,start_index,start_iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,1000,1000,0,1000,True,nan,nan,stagnation,,0.708120603480221,0.2507173945365962,0.016430322979279377,0.016430322979279377,0.016264004557394074,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,1100,1100,0,1100,True,nan,nan,stagnation,,0.708078502786214,0.2506875830539832,0.016131636174582464,0.01607945663010546,0.016131636174582464,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,1200,1200,0,1200,True,nan,nan,stagnation,,0.708042030033842,0.250661758147222,0.01601117260905971,0.015783562220400782,0.01601117260905971,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,1300,1300,0,1300,True,nan,nan,stagnation,,0.7080100810321435,0.2506391374215712,0.015899636435610764,0.015532145323223001,0.015899636435610764,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,1400,1400,0,1400,True,nan,nan,stagnation,,0.7079818291248022,0.2506191351854503,0.01579470298533181,0.015308716272989464,0.01579470298533181,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,1500,1500,0,1500,True,nan,nan,stagnation,,0.7079566410484441,0.2506013028022978,0.015695983980052675,0.01510736509373567,0.015695983980052675,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,1600,1600,0,1600,True,nan,nan,stagnation,,0.707934022262594,0.25058528993844753,0.015603581511435594,0.014925417266262508,0.015603581511435594,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,1700,1700,0,1700,True,nan,nan,stagnation,,0.707913580198741,0.2505708185148996,0.01551677566737264,0.014759510604177128,0.01551677566737264,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,1800,1800,0,1800,True,nan,nan,stagnation,,0.7078949988281514,0.25055766468295426,0.015434856237038663,0.014607441207591165,0.015434856237038663,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,1900,1900,0,1900,True,nan,nan,stagnation,,0.7078780206173014,0.2505456460365343,0.015358124201366175,0.01446787752133083,0.015358124201366175,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,2000,2000,0,2000,True,nan,nan,stagnation,,0.7078624334440203,0.25053461234064506,0.015285755800015788,0.014340965007732409,0.015285755800015788,-1705.06165328218,-1353.1645865422201
