risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,1300,1300,True,nan,nan,max_iter,,0.29314959279905356,0.04296834187912546,0.06128633467196931,0.06128633467196931,0.04061004220911946,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,1400,1400,True,nan,nan,max_iter,,0.2925709500949839,0.04279888041974078,0.06118051189664914,0.06118051189664914,0.04050096563054989,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,1500,1500,True,nan,nan,max_iter,,0.2920162139841865,0.04263673461482909,0.06107956006518628,0.06107956006518628,0.04039633346789018,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,1600,1600,True,nan,nan,max_iter,,0.2914811485739609,0.04248062998699773,0.060981411203322955,0.060981411203322955,0.04029582899733192,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,1700,1700,True,nan,nan,max_iter,,0.29096607429838556,0.04233062819630681,0.060886739391838474,0.060886739391838474,0.04019824728389387,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,1800,1800,True,nan,nan,max_iter,,0.29046894859431976,0.04218610504874479,0.06079475354517411,0.06079475354517411,0.04010434356908188,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,1900,1900,True,nan,nan,max_iter,,0.28998792030076304,0.04204649696018085,0.06070520120542233,0.06070520120542233,0.040013963747682846,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,2000,2000,True,nan,nan,max_iter,,0.2895212251091071,0.04191126989433914,0.06061801926500554,0.06061801926500554,0.03992613262412975,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.002,1.0,0.5,2000,23,0.01,100,100,full_batch,0,0,0,True,nan,nan,max_iter,,0.3095963046006083,0.04792493591117631,0.06407351841610076,0.06407351841610076,0.04377378393098297,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.002,1.0,0.5,2000,23,0.01,100,100,full_batch,0,100,100,True,nan,nan,max_iter,,0.304986895060799,0.04650850307941341,0.06333458375594797,0.06333458375594797,0.04286738766954762,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.002,1.0,0.5,2000,23,0.01,100,100,full_batch,0,200,200,True,nan,nan,max_iter,,0.30300330623835914,0.045905501795688426,0.06300697475394701,0.06300697475394701,0.04247963909017882,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.002,1.0,0.5,2000,23,0.01,100,100,full_batch,0,300,300,True,nan,nan,max_iter,,0.3015063860124493,0.045453050403144034,0.06275614695525988,0.06275614695525988,0.04218839134940805,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.002,1.0,0.5,2000,23,0.01,100,100,full_batch,0,400,400,True,nan,nan,max_iter,,0.30026121290174007,0.04507839798661204,0.06254515562541618,0.06254515562541618,0.04194671942045558,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.002,1.0,0.5,2000,23,0.01,100,100,full_batch,0,500,500,True,nan,nan,max_iter,,0.29917670100315114,0.044753349211564444,0.062359657151717984,0.062359657151717984,0.04173724807632073,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.002,1.0,0.5,2000,23,0.01,100,100,full_batch,0,600,600,True,nan,nan,max_iter,,0.2982061383715848,0.044463450481246385,0.06219217278875078,0.06219217278875078,0.04155208087518791,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.002,1.0,0.5,2000,23,0.01,100,100,full_batch,0,700,700,True,nan,nan,max_iter,,0.29732178716857227,0.04420012256255689,0.06203850322674992,0.06203850322674992,0.04138400670175996,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.002,1.0,0.5,2000,23,0.01,100,100,full_batch,0,800,800,True,nan,nan,max_iter,,0.2965055848577935,0.04395778092593109,0.06189585542044301,0.06189585542044301,0.041229369982139163,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.002,1.0,0.5,2000,23,0.01,100,100,full_batch,0,900,900,True,nan,nan,max_iter,,0.29574499330363757,0.043732550532084316,0.06176212467094355,0.06176212467094355,0.04108580313955762,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.002,1.0,0.5,2000,23,0.01,100,100,full_batch,0,1000,1000,True,nan,nan,max_iter,,0.2950308899312057,0.0435216130067996,0.061635849053972624,0.061635849053972624,0.04095087455923396,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.002,1.0,0.5,2000,23,0.01,100,100,full_batch,0,1100,1100,True,nan,nan,max_iter,,0.2943563929286558,0.0433228430289846,0.061515948177741364,0.061515948177741364,0.04082381668894158,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.002,1.0,0.5,2000,23,0.01,100,100,full_batch,0,1200,1200,True,nan,nan,max_iter,,0.2937161597778347,0.04313459125731926,0.06140158617154068,0.06140158617154068,0.04070368194199098,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.002,1.0,0.5,2000,23,0.01,100,100,full_batch,0,1300,1300,True,nan,nan,max_iter,,0.29310594504320214,0.04295554750983432,0.06129209638698074,0.06129209638698074,0.040589433076314574,nan,nan
