risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.1,0.5,2000,23,0.01,100,100,minibatch,0,200,200,True,nan,nan,stagnation,,0.2646498306336285,0.03501976642720413,0.053709428231241085,0.04355384232149018,0.053709428231241085,0.49292883201994586,0.4958821896471253
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.1,0.5,2000,23,0.01,100,100,minibatch,0,300,300,True,nan,nan,stagnation,,0.26376134226013315,0.03478502283543355,0.0536850862020718,0.04352475049985949,0.0536850862020718,0.4922872183950551,0.4953786873493742
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.1,0.5,2000,23,0.01,100,100,minibatch,0,400,400,True,nan,nan,stagnation,,0.26341205357212,0.034692954983540705,0.05366462011762374,0.04350008122078641,0.05366462011762374,0.4918802780193216,0.49470052883767174
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.1,0.5,2000,23,0.01,100,100,minibatch,0,500,500,True,nan,nan,stagnation,,0.26336876243706325,0.03468155251381513,0.05364623279136893,0.043478601038003606,0.05364623279136893,0.49096957190162377,0.4959361738564312
cvar,500,50,15128123,0.5,0.5,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,0,0,True,nan,nan,stagnation,,0.26895991653253065,0.036169718350592926,0.053812909281679255,0.043683273379414134,0.053812909281679255,0.4933989350088295,0.49834732256494835
cvar,500,50,15128123,0.5,0.5,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,100,100,True,nan,nan,stagnation,,0.7196246239988856,0.25892979973276875,0.05357120281370131,0.04340915296327902,0.05357120281370131,0.13136396396053238,-0.033858893754397615
cvar,500,50,15128123,0.5,0.5,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,200,200,True,nan,nan,stagnation,,0.7195652155716127,0.25888704973031074,0.053482109117323595,0.043307571198732964,0.053482109117323595,0.13136677123473958,-0.03385889319514169
cvar,500,50,15128123,0.5,0.5,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,300,300,True,nan,nan,stagnation,,0.7195199172253088,0.25885445564195764,0.05341425574083025,0.04323012266664539,0.05341425574083025,0.13136892428070657,-0.03385889276614514
cvar,500,50,15128123,0.5,0.5,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,400,400,True,nan,nan,stagnation,,0.719481932366683,0.25882712550104814,0.05335794241563474,0.043165172751695735,0.05335794241563474,0.1313707381418157,-0.033858892404682074
cvar,500,50,15128123,0.5,0.5,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,500,500,True,nan,nan,stagnation,,0.7194486231914656,0.25880316070604775,0.05330839345773741,0.04310843531659064,0.05330839345773741,0.1313723351007663,-0.03385889208640558
