risk,K,n,rep,seed,method,status,success,censored,time_limit_s,time_s,observed_time_s,source,exit_code,status_message,gamma,alpha,epsilon,epsilon_scr,support_kappa,support_tau,max_candidates,n_screen_starts,n_support_starts,screen_maxiter,support_maxiter,stochastic_max_iter,stochastic_minibatch_size,stochastic_entropy_kappa,stochastic_smoothing_tau,stochastic_step_size,stochastic_step_decay,stochastic_logit_bound,stochastic_gradient_clip_norm,stochastic_record_every,stochastic_certify_every,stochastic_regret_tolerance,eta,regret1,regret2,has_profile,error,solver,candidate_index,support_eta,screen_eta,best_screen_eta,best_screen_success,best_screen_violation,best_screen_candidate_index,best_screen_message,support_violation,residual_norm,objective,iterations,best_certificate_eta,best_certificate_iteration,uncapped_success,uncapped_eta
cvar,5,5,3,1050626,stochastic_minibatch,completed,False,False,86400,258.9986836170001,258.9986836170001,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.03901154107828575,0.03499258191097687,0.03901154107828575,True,,,,nan,nan,,,,,,nan,0.7158591781763484,0.25622718148965845,1000,0.03901154107828575,500,,
cvar,5,5,4,1050627,mcp,completed,True,False,86400,0.045853266999984044,0.045853266999984044,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,,pathampl,,nan,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,4,1050627,screened_dual,completed,True,False,86400,1.0060435410000537,1.0060435410000537,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,4.789502128232925e-13,4.789502128232925e-13,6.8833827526759706e-15,True,,,1,4.789502128232925e-13,-0.05386161869427448,,,,,,3.596012376760882e-13,nan,nan,,nan,,,
cvar,5,5,4,1050627,action_dual,completed,True,False,86400,0.8621357500001068,0.8621357500001068,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.002433813640508764,0.002433813640508764,1.211637457032566e-10,True,,,1,0.002433813640508764,nan,,,,,,2.250766240052826e-11,nan,nan,,nan,,,
cvar,5,5,4,1050627,restricted_mcp,completed,True,False,86400,0.13710078499980227,0.13710078499980227,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.002433813577736421,0.002433813577736421,0.0,True,,pathampl,4,0.002433813577736421,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,4,1050627,stochastic_full_batch,completed,False,False,86400,264.27058049900006,264.27058049900006,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.056135930917429744,0.056135930917429744,0.007548857712866175,True,,,,nan,nan,,,,,,nan,0.19088707076618583,0.01821893689284742,1000,0.056135930917429744,0,,
cvar,5,5,4,1050627,stochastic_minibatch,completed,False,False,86400,266.4080832159998,266.4080832159998,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.056135930917429744,0.056135930917429744,0.007548857712866175,True,,,,nan,nan,,,,,,nan,0.19088707076618583,0.01821893689284742,1000,0.056135930917429744,0,,
cvar,5,5,5,1050628,mcp,completed,True,False,86400,0.04975921799996286,0.04975921799996286,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,,pathampl,,nan,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,5,1050628,screened_dual,completed,True,False,86400,3.943203973999971,3.943203973999971,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0024062818373447037,0.0024062818373447037,0.0024062818372645456,True,,,2,0.0024062818373447037,-0.019281971139737553,,,,,,1.1790568521519162e-13,nan,nan,,nan,,,
cvar,5,5,5,1050628,action_dual,completed,True,False,86400,0.15640124199990169,0.15640124199990169,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.005675071189412961,0.005675071189412961,0.005675071163179446,True,,,1,0.005675071189412961,nan,,,,,,1.0066503186578757e-11,nan,nan,,nan,,,
cvar,5,5,5,1050628,restricted_mcp,completed,False,False,86400,0.47560006200001226,0.47560006200001226,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,nan,nan,nan,False,Cannot load a SolverResults object with bad status: error,,,nan,nan,,,,,,nan,nan,nan,,nan,,,
