K,n,seed,gamma,eps,kappa,tau,small_time_s,small_success,small_eta,mcp_time_s,mcp_success,mcp_eta
10,50,105142,0.5,0.01,8,5,593.6076866670046,True,0.005982304329687493,2.697984040947631,False,
30,5,300623,0.5,0.01,3,6,3.3531481670215726,True,0.0006309944518997357,0.19533416698686779,True,2.3314683517128287e-15
30,5,300624,0.5,0.01,3,6,47.2522885419894,True,0.009927109139581614,0.3642782079987228,True,3.5885738824958935e-12
30,5,300625,0.5,0.01,3,6,535.0670516670216,True,0.008174818283166019,0.09280308289453387,True,3.4329095122132e-11
30,5,300626,0.5,0.01,3,6,5.915862082969397,True,0.0009908343054142454,0.16675833286717534,True,3.3306690738754696e-16
30,5,300627,0.5,0.01,3,6,0.8003767500631511,True,0.004754024445230265,0.15936320810578763,True,4.440892098500626e-16
30,5,300628,0.5,0.01,3,6,1.791220584185794,True,0.004367740965310896,0.16134279104880989,True,-4.96713781217295e-13
30,5,300629,0.5,0.01,3,6,11.404620958026499,True,0.0033673150826442066,0.19244854198768735,True,-6.756817327868703e-13
30,5,300630,0.5,0.01,3,6,10.742003791965544,True,0.0026014505519610376,0.5122352920006961,True,2.220446049250313e-16
30,5,300631,0.5,0.01,3,6,37.88627858296968,True,0.005127897606696574,0.21845270902849734,True,-4.0181191707233666e-12
30,5,300632,0.5,0.01,3,6,25.693077583098784,True,0.005726151642021504,0.1627342919819057,True,4.440892098500626e-16
30,5,300633,0.5,0.01,3,6,6.364551583072171,True,0.007711880647078839,0.14425712497904897,True,1.1102230246251565e-16
30,5,300634,0.5,0.01,3,6,437.77447562501766,True,0.004743160690169668,0.10186870815232396,True,-1.1343148642595224e-11
30,5,300635,0.5,0.01,3,6,22.828793874941766,True,3.8037295535531257e-10,0.1772538749501109,True,3.3306690738754696e-16
30,5,300636,0.5,0.01,3,6,17.819483666913584,True,0.005149794970940369,0.16670179180800915,True,8.881784197001252e-16
30,5,300637,0.5,0.01,3,6,90.20524050015956,True,0.008818119847413874,0.1683688338380307,True,-1.892930256985892e-13
30,5,300638,0.5,0.01,3,6,67.46519433404319,True,0.008507193217779596,0.31485399999655783,True,1.9852453014834737e-11
30,5,300639,0.5,0.01,3,6,2.1949431670363992,True,0.008437594137085447,0.18616670812480152,True,-4.812816811750054e-13
30,5,300640,0.5,0.01,3,6,6.38331533386372,True,0.007063450381098291,0.17672900017350912,True,5.551115123125783e-16
30,5,300641,0.5,0.01,3,6,1.4232793748378754,True,0.004658890962767281,0.15405420796014369,True,6.661338147750939e-16
30,5,300642,0.5,0.01,3,6,3.579684166936204,True,0.0052839405152610985,0.1495970410760492,True,0.0
30,10,301123,0.5,0.01,4,6,35.125887874979526,True,0.008462722841653225,1.9650443329010159,False,
30,10,301124,0.5,0.01,4,6,151.23520074994303,True,0.0061057054311477454,0.3507112502120435,True,-9.815259716106084e-12
30,10,301125,0.5,0.01,4,6,2.926372291985899,True,0.0015038401225010434,0.4145150410477072,True,8.881784197001252e-16
30,10,301126,0.5,0.01,4,6,299.4560111248866,True,0.007259776387186334,1.0188075411133468,False,
30,10,301127,0.5,0.01,4,6,29.317545416997746,True,0.0065374621111303766,0.3998319578822702,True,4.440892098500626e-16
30,10,301128,0.5,0.01,4,6,60.25885216705501,True,0.009668901818269404,0.46394137502647936,True,-1.4241940959891508e-12
30,10,301129,0.5,0.01,4,6,302.15458233398385,True,0.006619610221157202,0.5037364999298006,True,-5.7125415509062805e-12
30,10,301130,0.5,0.01,4,6,10.531172666000202,True,0.009868471263796419,0.9892312081065029,False,
30,10,301131,0.5,0.01,4,6,381.7180420830846,True,0.009770921110099251,0.16952912509441376,True,-1.1595169269185135e-12
30,10,301132,0.5,0.01,4,6,13.726921291090548,True,0.0013006483466617702,0.35713191609829664,True,-2.973177259946169e-13
30,10,301133,0.5,0.01,4,6,183.7800594160799,True,0.007637806741985664,0.31228379206731915,True,1.1334488903003148e-11
30,10,301134,0.5,0.01,4,6,77.9520353327971,True,0.009335006536521084,1.233362124999985,False,
30,10,301135,0.5,0.01,4,6,0.9760466669686139,True,0.0048764227120950965,0.5165143748745322,True,8.881784197001252e-16
30,10,301136,0.5,0.01,4,6,8.552915208041668,True,0.009397354419697024,0.3788746672216803,True,-6.012856879067385e-12
30,10,301137,0.5,0.01,4,6,195.08846387499943,True,0.004163661378701167,0.42118229204788804,True,1.2212453270876722e-15
30,10,301138,0.5,0.01,4,6,63.85552295809612,True,0.003667070178434595,0.4035073749255389,True,1.1102230246251565e-15
30,10,301139,0.5,0.01,4,6,8.219660124974325,True,0.0059695489251708755,0.39795349980704486,True,6.661338147750939e-16
30,10,301140,0.5,0.01,4,6,10.687199582811445,True,0.004656244550713007,0.438312083017081,True,8.881784197001252e-16
30,10,301141,0.5,0.01,4,6,4.464664417086169,True,0.0005561489399441566,0.3253719999920577,True,1.4432899320127035e-15
30,10,301142,0.5,0.01,4,6,117.00751037499867,True,0.003731094484596076,0.36198258283548057,True,-6.5503158452884236e-15
30,20,302123,0.5,0.01,5,6,838.225487583084,False,0.012206015122176561,1.1908014160580933,True,-3.295252959389927e-12
30,20,302124,0.5,0.01,5,6,356.41602983279154,True,0.004791600764127324,2.9278872499708086,False,
30,20,302125,0.5,0.01,5,6,153.6341121250298,True,0.008031037478792302,3.8392900838516653,False,
30,20,302126,0.5,0.01,5,6,820.4134225419257,False,0.01466347991416761,2.2180160828866065,False,
30,20,302127,0.5,0.01,5,6,536.1264413339086,True,0.0053511676750901405,2.028540208004415,False,
30,20,302128,0.5,0.01,5,6,799.7402940001339,False,0.010243292792109004,1.8508702090475708,True,-1.848410313698423e-12
30,20,302129,0.5,0.01,5,6,979.726212291047,False,0.01367773019999452,1.7038041669875383,False,
30,20,302130,0.5,0.01,5,6,724.4912057500333,False,0.011509256430474624,3.3220700828824192,False,
30,20,302131,0.5,0.01,5,6,117.0581593750976,True,0.00715190001212862,1.0826560829300433,True,8.881784197001252e-16
30,20,302132,0.5,0.01,5,6,584.8629792500287,True,0.008438403945483786,0.7360346249770373,True,9.992007221626409e-16
30,20,302133,0.5,0.01,5,6,39.29120458289981,True,0.009130580419152934,1.138881041901186,True,1.1102230246251565e-15
30,20,302134,0.5,0.01,5,6,321.96344120800495,True,0.0078111908093906335,0.76068912493065,True,-7.722711359292589e-13
30,20,302135,0.5,0.01,5,6,97.17911858297884,True,0.002362245255021378,3.105238707968965,False,
30,20,302136,0.5,0.01,5,6,594.699871083023,False,0.01621093370286486,0.893614917062223,False,
30,20,302137,0.5,0.01,5,6,181.4741402079817,True,0.006722125902415943,1.3067777079995722,True,-1.5186296664637666e-11
30,20,302138,0.5,0.01,5,6,10.92309020808898,True,0.006057358590780604,2.0916997911408544,False,
