risk,K,n,rep,seed,gamma,alpha,epsilon,low,high,profile,uniform_success,uniform_eta,uniform_regret1,uniform_regret2,uniform_rho1,uniform_rho2,uniform_time_s
cvar,250,10,45,3501168,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0013286784268548013,0.0012690167740562197,0.0013286784268548013,0.48700243076804905,0.48831997212115696,0.006379792001098394
cvar,250,10,46,3501169,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0018248887890925936,0.001543480404840425,0.0018248887890925936,0.48426792746316105,0.48964204389318067,0.0066283331252634525
cvar,250,10,47,3501170,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0031839991364718268,0.001068149263389273,0.0031839991364718268,0.48954698147857,0.4876962574975762,0.006348500028252602
cvar,250,10,48,3501171,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0038425432813422034,0.0029030694037798233,0.0038425432813422034,0.48937630171333923,0.4886876915120035,0.006273167207837105
cvar,250,10,49,3501172,0.5,0.5,0.01,0.0,1.0,uniform,True,0.001219196593612859,0.0010510644859610951,0.001219196593612859,0.48860350771363287,0.488852981338486,0.006512916646897793
cvar,250,10,50,3501173,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0035572841369759245,0.0035572841369759245,0.0016226127857457695,0.4847605578133583,0.48895417093152127,0.006452749948948622
cvar,250,10,51,3501174,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002696878859819507,0.002696878859819507,0.0018886092464701076,0.4872048324919196,0.4902181759412375,0.006273000035434961
cvar,250,10,52,3501175,0.5,0.5,0.01,0.0,1.0,uniform,True,0.001944281652237645,0.001944281652237645,0.0014526182068523852,0.4908579168648156,0.4933658563762539,0.006449958775192499
cvar,250,10,53,3501176,0.5,0.5,0.01,0.0,1.0,uniform,True,0.003125127420238294,0.003125127420238294,0.0006493089892971038,0.49048227097764596,0.4887108662242251,0.006486500147730112
cvar,250,10,54,3501177,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002112565209736017,0.002112565209736017,0.0011598986730350092,0.4880523702586065,0.4865043877376747,0.006520750001072884
cvar,250,10,55,3501178,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0024261851705032478,0.0018814208050485504,0.0024261851705032478,0.4844295715624454,0.4849597449770206,0.006156041286885738
cvar,250,10,56,3501179,0.5,0.5,0.01,0.0,1.0,uniform,True,0.001727067434860674,0.001727067434860674,0.0015286338005243705,0.48526324099900325,0.4849097430828412,0.0068549588322639465
cvar,250,10,57,3501180,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0017272830045887422,0.001218752519558386,0.0017272830045887422,0.49018516274742185,0.48518494336980617,0.006706167012453079
cvar,250,10,58,3501181,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0012072374045445922,0.0010947694877629366,0.0012072374045445922,0.49111088226313804,0.48810795885483327,0.0066735828295350075
cvar,250,10,59,3501182,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0022356503720175613,0.0015567050709384134,0.0022356503720175613,0.49073817140230247,0.49062948911964044,0.006545125041157007
cvar,250,10,60,3501183,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0014719453378505554,0.0009998750119603605,0.0014719453378505554,0.4882252092031746,0.48860444121220054,0.006617499981075525
cvar,250,10,61,3501184,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0021683413471771384,0.001511616985826525,0.0021683413471771384,0.4882101444073932,0.48732365131770417,0.006683416664600372
cvar,250,10,62,3501185,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0010352889128515952,0.0010352889128515952,0.0009230543169491123,0.4909307626138035,0.489416145782408,0.0067057921551167965
