K,n,seed,gamma,eps,kappa,tau,small_time_s,small_success,small_eta,small_screen_eta,small_support_eta,small_has_profile,mcp_time_s,mcp_success,mcp_eta
30,10,301142,0.5,0.01,4,6,80.80896383337677,True,0.007774876990893853,0.004240898343301516,0.007774876990893853,True,0.3297872091643512,True,2.220446049250313e-16
30,20,302123,0.5,0.01,5,6,154.83211658336222,True,0.008513320031699467,-0.004948022651535175,0.008513320031699467,True,1.1515140826813877,True,2.220446049250313e-16
30,20,302124,0.5,0.01,5,6,88.44446433288977,True,0.004965645362037696,-0.02557869670229227,0.004965645362037696,True,2.8206792077980936,False,
30,20,302125,0.5,0.01,5,6,535.9012158336118,True,0.008205416403134658,-0.012365390230442058,0.008205416403134658,True,3.7874135416932404,False,
30,20,302126,0.5,0.01,5,6,73.94266158295795,True,0.009836801241232873,0.004439046925304197,0.009836801241232873,True,2.0811565830372274,False,
30,20,302127,0.5,0.01,5,6,445.33791300002486,True,0.001695709993061123,-0.040314364343857295,0.001695709993061123,True,1.9702054159715772,False,
30,20,302128,0.5,0.01,5,6,59.20979170920327,True,0.005937216516168964,-0.003135585019540846,0.005937216516168964,True,1.6689981669187546,True,1.0880185641326534e-14
30,20,302129,0.5,0.01,5,6,164.54645337490365,True,0.007490261094210471,0.0056860614982298255,0.007490261094210471,True,2.147320874966681,False,
30,20,302130,0.5,0.01,5,6,426.36176829086617,True,0.004602842703811727,-0.017608656214214497,0.004602842703811727,True,2.938572790939361,False,
30,20,302131,0.5,0.01,5,6,357.87626766692847,True,0.0034105231846505157,-0.012684649606299931,0.0034105231846505157,True,1.088681916706264,True,0.0
30,20,302132,0.5,0.01,5,6,146.99718025000766,True,0.0035140251006021694,-0.011106923765214265,0.0035140251006021694,True,1.3772340416908264,True,0.0
30,20,302133,0.5,0.01,5,6,80.42598458332941,True,0.006591745043479591,-0.027024563023054247,0.006591745043479591,True,1.046805249992758,True,8.31723578897936e-12
30,20,302134,0.5,0.01,5,6,50.55536966724321,True,0.006615438504106286,-0.00850547533727,0.006615438504106286,True,1.06443691579625,True,2.220446049250313e-16
30,20,302135,0.5,0.01,5,6,346.477677708026,True,0.00019551394566741376,-0.047505198905310436,0.00019551394566741376,True,1.8151462082751095,False,
30,20,302136,0.5,0.01,5,6,236.67203374998644,True,0.007275247078232461,0.004962245939686887,0.007275247078232461,True,2.4868980003520846,False,
30,20,302137,0.5,0.01,5,6,193.57649079104885,True,0.0028129769250183623,-0.005040622819566087,0.0028129769250183623,True,0.6110391248948872,True,9.534040223968532e-12
30,20,302138,0.5,0.01,5,6,146.46518675005063,True,0.004087555224067452,-0.0005253141810786583,0.004087555224067452,True,1.5228402079083025,False,
30,20,302139,0.5,0.01,5,6,98.48510175012052,True,0.008020560598724358,0.002362413686172075,0.008020560598724358,True,1.919916832819581,False,
30,20,302140,0.5,0.01,5,6,71.3797969580628,True,9.933733507994091e-07,0.005432569319916559,9.933733507994091e-07,True,1.0238073752261698,True,1.5862644531239312e-11
30,20,302141,0.5,0.01,5,6,239.15028733294457,True,0.006101948002935731,-0.0028601281850810273,0.006101948002935731,True,1.1053764577955008,True,0.0
