,sample,gamma,x,y,in_sample_payoff1,in_sample_payoff2,oos_mean1,oos_std1,oos_min1,oos_mean2,oos_std2,oos_min2
609,55,0.4,[0.055 0.945],[0.055 0.945],0.23997071556408353,0.23997071584718616,0.8208874858910884,0.46535021050430947,0.00919903651065458,0.8208874866096029,0.46535021103262997,0.00919903651065458
610,55,0.5,[1. 0.],[1. 0.],3.000000000000036,3.000000000000036,2.2323000000000266,1.3090976701530106,0.0,2.2323000000000266,1.3090976701530106,0.0
611,55,0.6000000000000001,[0. 1.],[0. 1.],0.19999999999972964,0.19999999999972964,0.7634999999989677,0.42493264172043993,0.0,0.7634999999989677,0.42493264172043993,0.0
612,55,0.7000000000000001,[0. 1.],[0. 1.],0.19999999999970836,0.19999999999970836,0.7634999999988866,0.4249326417203947,0.0,0.7634999999988866,0.4249326417203947,0.0
613,55,0.8,[0. 1.],[0. 1.],0.19999999999968474,0.19999999999968474,0.7634999999987966,0.4249326417203445,0.0,0.7634999999987966,0.4249326417203445,0.0
614,55,0.9,[1. 0.],[1. 0.],3.000000000000047,3.000000000000047,2.232300000000035,1.3090976701530155,0.0,2.232300000000035,1.3090976701530155,0.0
615,55,1.0,[1. 0.],[1. 0.],3.0000000000000515,3.0000000000000515,2.2323000000000373,1.3090976701530173,0.0,2.2323000000000373,1.3090976701530173,0.0
616,56,0.0,[0. 1.],[0. 1.],0.7999999463554921,0.7999999463554921,0.7634999488030225,0.4249326132268863,0.0,0.7634999488030225,0.4249326132268863,0.0
617,56,0.1,[0. 1.],[0. 1.],0.7999999941005648,0.7999999941005648,0.7634999943697267,0.42493263858743613,0.0,0.7634999943697267,0.42493263858743613,0.0
618,56,0.2,[0. 1.],[0. 1.],0.7999999939751951,0.7999999939751951,0.7634999942500768,0.42493263852084406,0.0,0.7634999942500768,0.42493263852084406,0.0
619,56,0.30000000000000004,[0. 1.],[0. 1.],0.7999999937679967,0.7999999937679967,0.763499994052332,0.4249326384107874,0.0,0.763499994052332,0.4249326384107874,0.0
620,56,0.4,[0. 1.],[0. 1.],0.7999999934765615,0.7999999934765615,0.7634999937741932,0.4249326382559869,0.0,0.7634999937741932,0.4249326382559869,0.0
621,56,0.5,[0. 1.],[0. 1.],0.7999999930975783,0.7999999930975783,0.7634999934125012,0.424932638054684,0.0,0.7634999934125012,0.424932638054684,0.0
622,56,0.6000000000000001,[0. 1.],[0. 1.],0.7999999926268611,0.7999999926268611,0.7634999929632605,0.4249326378046551,0.0,0.7634999929632605,0.4249326378046551,0.0
623,56,0.7000000000000001,[0. 1.],[0. 1.],0.7999999920593854,0.7999999920593854,0.7634999924216758,0.42493263750323146,0.0,0.7634999924216758,0.42493263750323146,0.0
624,56,0.8,[0. 1.],[0. 1.],0.7999999702254604,0.7999999702254604,0.7634999715839236,0.4249326259057972,0.0,0.7634999715839236,0.4249326259057972,0.0
625,56,0.9,[0. 1.],[0. 1.],0.7999999675765941,0.7999999675765941,0.7634999690559118,0.42493262449881,0.0,0.7634999690559118,0.42493262449881,0.0
626,56,1.0,[0. 1.],[0. 1.],0.7999999645413535,0.7999999645413535,0.7634999661591543,0.42493262288659395,0.0,0.7634999661591543,0.42493262288659395,0.0
627,57,0.0,[0. 1.],[0. 1.],1.000000008716652,1.000000008716652,0.7635000066551638,0.4249326454250044,0.0,0.7635000066551638,0.4249326454250044,0.0
628,57,0.1,[0. 1.],[0. 1.],1.0000000087890617,1.0000000087890617,0.7635000067104487,0.4249326454557736,0.0,0.7635000067104487,0.4249326454557736,0.0
629,57,0.2,[0. 1.],[0. 1.],1.0000000014991335,1.0000000014991335,0.7635000011445885,0.4249326423580452,0.0,0.7635000011445885,0.4249326423580452,0.0
630,57,0.30000000000000004,[0. 1.],[0. 1.],1.0000000015489434,1.0000000015489434,0.7635000011826184,0.424932642379211,0.0,0.7635000011826184,0.424932642379211,0.0
631,57,0.4,[0. 1.],[0. 1.],1.0000000016186104,1.0000000016186104,0.7635000012358091,0.4249326424088148,0.0,0.7635000012358091,0.4249326424088148,0.0
632,57,0.5,[0. 1.],[0. 1.],1.0000000017081456,1.0000000017081456,0.763500001304169,0.4249326424468613,0.0,0.763500001304169,0.4249326424468613,0.0
633,57,0.6000000000000001,[0. 1.],[0. 1.],1.0000000018175612,1.0000000018175612,0.7635000013877079,0.4249326424933555,0.0,0.7635000013877079,0.4249326424933555,0.0
634,57,0.7000000000000001,[0. 1.],[0. 1.],1.00000000194687,1.00000000194687,0.7635000014864352,0.42493264254830293,0.0,0.7635000014864352,0.42493264254830293,0.0
635,57,0.8,[0. 1.],[0. 1.],1.000000002096086,1.000000002096086,0.7635000016003618,0.42493264261170977,0.0,0.7635000016003618,0.42493264261170977,0.0
