K,n,seed,gamma,entropy_kappa,smoothing_tau,max_iter,minibatch_size,step_size,step_decay,regret_tolerance,record_every,certify_every,methods,full_batch_success,full_batch_time_s,full_batch_solve_time_s,full_batch_eta,full_batch_regret1,full_batch_regret2,full_batch_residual_norm,full_batch_objective,full_batch_iterations,full_batch_has_profile,full_batch_history_len,full_batch_best_residual_norm,full_batch_best_objective,full_batch_best_certificate_eta,full_batch_best_certificate_iteration,full_batch_error,minibatch_success,minibatch_time_s,minibatch_solve_time_s,minibatch_eta,minibatch_regret1,minibatch_regret2,minibatch_residual_norm,minibatch_objective,minibatch_iterations,minibatch_has_profile,minibatch_history_len,minibatch_best_residual_norm,minibatch_best_objective,minibatch_best_certificate_eta,minibatch_best_certificate_iteration,minibatch_error,eta_diff_minibatch_minus_full_batch,residual_diff_minibatch_minus_full_batch,time_ratio_minibatch_over_full_batch,x_l1_minibatch_minus_full_batch,y_l1_minibatch_minus_full_batch
30,20,302123,0.5,0.1,0.02,1000,6,0.4,0.5,0.001,25,25,"full_batch,minibatch",False,27.655006249900907,27.644981333985925,0.013894086395063732,0.013006962900432517,0.013894086395063732,0.05431320319194388,0.0014749620204846914,1000,True,41,0.05431320319194388,0.0014749620204846914,0.013894086395063732,1000,,False,27.82519929204136,27.816905041225255,0.013896962722257544,0.013003986007262769,0.013896962722257544,0.054259247718268615,0.001472032981476219,1000,True,41,0.054259247718268615,0.001472032981476219,0.013896962722257544,1000,,2.876327193812589e-06,-5.395547367526704e-05,1.0061541494730657,0.0006004454281358096,0.0004106462218837065
100,20,1002123,0.5,0.1,0.02,1000,10,0.4,0.5,0.001,25,25,"full_batch,minibatch",False,29.109467249829322,29.09823483414948,0.009230823408551192,0.009230823408551192,0.0038546471483075218,0.03252998876972179,0.0005291000846791129,1000,True,41,0.03252998876972179,0.0005291000846791129,0.009230823408551192,1000,,False,28.77866700012237,28.76935104187578,0.009230786029984894,0.009230786029984894,0.003854260095596196,0.032540057067825645,0.0005294276569886749,1000,True,41,0.032540057067825645,0.0005294276569886749,0.009230786029984894,1000,,-3.737856629770775e-08,1.0068298103856066e-05,0.9886359909349116,0.0002668911061307899,0.0003209429029944061
30,20,302123,0.5,0.1,0.02,1000,6,0.5,0.5,0.001,25,25,"full_batch,minibatch",False,28.68697066605091,28.673660875298083,0.013839266663069172,0.012925962556497528,0.013839266663069172,0.05111722724031177,0.001306485460368836,1000,True,41,0.05111722724031177,0.001306485460368836,0.013839266663069172,1000,,False,28.34325979091227,28.334998707752675,0.013843326431968062,0.012922649610804027,0.013843326431968062,0.05105628186296028,0.0013033719588350235,1000,True,41,0.05105628186296028,0.0013033719588350235,0.013843326431968062,1000,,4.059768898889704e-06,-6.094537735149008e-05,0.9880185719454373,0.0007202046412741053,0.0004920944262091081
100,20,1002123,0.5,0.1,0.02,1000,10,0.5,0.5,0.001,25,25,"full_batch,minibatch",False,29.751047250349075,29.739557042252272,0.009195215824958691,0.009195215824958691,0.0038415059442364896,0.030509831673597068,0.00046542491437561346,1000,True,41,0.030509831673597068,0.00046542491437561346,0.009195215824958691,1000,,False,29.03269458329305,29.022849082946777,0.009195217394061261,0.009195217394061261,0.0038410689898266126,0.030522136061199006,0.0004658003948691724,1000,True,41,0.030522136061199006,0.0004658003948691724,0.009195217394061261,1000,,1.5691025700981243e-09,1.2304387601937833e-05,0.9758545418246547,0.0003215492162491479,0.0003885179896183297
30,20,302123,0.5,0.1,0.02,1000,6,1.0,0.5,0.001,25,25,"full_batch,minibatch",False,27.945936082862318,27.930924250278622,0.013604416691967436,0.012608993224910603,0.013604416691967436,0.03785464400889083,0.0007164870365199273,1000,True,41,0.03785464400889083,0.0007164870365199273,0.013604416691967436,1000,,False,29.185629750136286,29.17744500003755,0.013611532476936417,0.012604027878977242,0.013611532476936417,0.037783430890158974,0.0007137938249157096,1000,True,41,0.037783430890158974,0.0007137938249157096,0.013611532476936417,1000,,7.115784968980687e-06,-7.12131187318582e-05,1.0443604273479392,0.0011785443705236848,0.0008284044374883767
100,20,1002123,0.5,0.1,0.02,1000,10,1.0,0.5,0.001,25,25,"full_batch,minibatch",False,30.519010415766388,30.50594670837745,0.009049732053766024,0.009049732053766024,0.003788553107252457,0.02215404031847575,0.00024540075121632455,1000,True,41,0.02215404031847575,0.00024540075121632455,0.009049732053766024,1000,,False,32.38872795877978,32.37857437506318,0.00905014749380012,0.00905014749380012,0.003787774673487787,0.022176639727021347,0.0002459016747910507,1000,True,41,0.022176639727021347,0.0002459016747910507,0.00905014749380012,1000,,4.1544003409610397e-07,2.2599408545598276e-05,1.06126402912617,0.0005378818696207752,0.0006663892337380947
30,20,302123,0.5,0.25,0.02,1000,6,0.3,0.5,0.001,25,25,"full_batch,minibatch",False,31.752359915990382,31.742151875048876,0.013869932937541074,0.012954529795057679,0.013869932937541074,0.021964308408339035,0.0002412154219283164,1000,True,41,0.021964308408339035,0.0002412154219283164,0.013869932937541074,1000,,False,27.293191583361477,27.285311250016093,0.013876205142191567,0.0129523441612453,0.013876205142191567,0.021929345416086633,0.00024044809518901993,1000,True,41,0.021929345416086633,0.00024044809518901993,0.013876205142191567,1000,,6.272204650492608e-06,-3.4962992252401265e-05,0.8595641916245953,0.0006450316137111903,0.00046557694076788253
100,20,1002123,0.5,0.25,0.02,1000,10,0.3,0.5,0.001,25,25,"full_batch,minibatch",False,26.72029499989003,26.70902045816183,0.009195996787301597,0.009195996787301597,0.0038425737407979943,0.012961293031936263,8.399755852985976e-05,1000,True,41,0.012961293031936263,8.399755852985976e-05,0.009195996787301597,1000,,False,27.226556458044797,27.217449207790196,0.00919684950726879,0.00919684950726879,0.0038423881907176938,0.013015805265691164,8.470559335719691e-05,1000,True,41,0.013015805265691164,8.470559335719691e-05,0.00919684950726879,1000,,8.527199671926056e-07,5.451223375490047e-05,1.0189467016796354,0.0003168686259446274,0.00040992287975501196
30,20,302123,0.5,0.25,0.02,1000,6,0.4,0.5,0.001,25,25,"full_batch,minibatch",False,26.807675375137478,26.797480792272836,0.013830757008365169,0.012891214671246543,0.013830757008365169,0.014991790912139367,0.00011237689737665226,1000,True,41,0.014991790912139367,0.00011237689737665226,0.013830757008365169,1000,,False,29.33566716685891,29.327681167051196,0.013838691400733516,0.01288854530689576,0.013838691400733516,0.015004928964525934,0.00011257394661523465,1000,True,41,0.015004928964525934,0.00011257394661523465,0.013838691400733516,1000,,7.934392368347254e-06,1.3138052386566651e-05,1.094301044620452,0.0007151653838443697,0.0005387234618103379
100,20,1002123,0.5,0.25,0.02,1000,10,0.4,0.5,0.001,25,25,"full_batch,minibatch",False,27.786869124975055,27.7752462499775,0.009166931795937305,0.009166931795937305,0.003831676247712301,0.008752781560304426,3.830559252120259e-05,1000,True,41,0.008752781560304426,3.830559252120259e-05,0.009166931795937305,1000,,False,30.364292500074953,30.35423633409664,0.009168248034018667,0.009168248034018667,0.0038315509952908666,0.008831788879282718,3.9000247404110944e-05,1000,True,41,0.008831788879282718,3.9000247404110944e-05,0.009168248034018667,1000,,1.3162380813613872e-06,7.900731897829243e-05,1.0927568832424985,0.00038293338397547144,0.0004808073575313654
