risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
msd,250,20,2502125,0.5,nan,0.03,0.01,20.0,0.5,1500,16,0.001,100,100,full_batch,1,400,900,False,0.00039935602213081456,0.14205467451783393,max_iter,,0.0071838843146352525,2.5804096923031205e-05,0.002521485658218414,0.002103059491760484,0.002521485658218414,nan,nan
msd,250,20,2502125,0.5,nan,0.03,0.01,20.0,0.5,1500,16,0.001,100,100,full_batch,1,500,1000,False,0.00039935602213081456,0.14205467451783393,max_iter,,0.006484044810991491,2.1021418555472844e-05,0.0025013659725302007,0.002091020227857676,0.0025013659725302007,nan,nan
msd,250,20,2502125,0.5,nan,0.03,0.01,20.0,0.5,1500,16,0.001,100,100,full_batch,1,600,1100,False,0.00039935602213081456,0.14205467451783393,max_iter,,0.005912686348685079,1.7479929928963447e-05,0.0024851513401751846,0.002081226903935085,0.0024851513401751846,nan,nan
msd,250,20,2502125,0.5,nan,0.03,0.01,20.0,0.5,1500,16,0.001,100,100,full_batch,1,700,1200,False,0.00039935602213081456,0.14205467451783393,max_iter,,0.0054337850677111015,1.476301008104007e-05,0.0024716341472064696,0.0020730296357523437,0.0024716341472064696,nan,nan
msd,250,20,2502125,0.5,nan,0.03,0.01,20.0,0.5,1500,16,0.001,100,100,full_batch,1,800,1300,False,0.00039935602213081456,0.14205467451783393,max_iter,,0.005024568524899154,1.262314443070363e-05,0.0024601815804938254,0.002066058849286845,0.0024601815804938254,nan,nan
msd,250,20,2502125,0.5,nan,0.03,0.01,20.0,0.5,1500,16,0.001,100,100,full_batch,1,900,1400,False,0.00039935602213081456,0.14205467451783393,max_iter,,0.004669679046552131,1.0902951198904007e-05,0.002450356190218106,0.002060097443194797,0.002450356190218106,nan,nan
msd,250,20,2502125,0.5,nan,0.03,0.01,20.0,0.5,1500,16,0.001,100,100,full_batch,1,1000,1500,False,0.00039935602213081456,0.14205467451783393,max_iter,,0.004358253320419294,9.4971860024729e-06,0.0024418720486035217,0.002054902264502889,0.0024418720486035217,nan,nan
msd,250,20,2502125,0.5,nan,0.03,0.01,20.0,0.5,1500,16,0.001,100,100,full_batch,1,1100,1600,False,0.00039935602213081456,0.14205467451783393,max_iter,,0.004082319613411423,8.332666713021796e-06,0.002434435937014312,0.0020503210109458214,0.002434435937014312,nan,nan
msd,250,20,2502125,0.5,nan,0.03,0.01,20.0,0.5,1500,16,0.001,100,100,full_batch,1,1200,1700,False,0.00039935602213081456,0.14205467451783393,max_iter,,0.003835854732929569,7.356890766069088e-06,0.002427838081405509,0.0020462519315294636,0.002427838081405509,nan,nan
msd,250,20,2502125,0.5,nan,0.03,0.01,20.0,0.5,1500,16,0.001,100,100,full_batch,1,1300,1800,False,0.00039935602213081456,0.14205467451783393,max_iter,,0.0036141981097021795,6.531213988087404e-06,0.0024219602502569826,0.0020426717483854606,0.0024219602502569826,nan,nan
msd,250,20,2502125,0.5,nan,0.03,0.01,20.0,0.5,1500,16,0.001,100,100,full_batch,1,1400,1900,False,0.00039935602213081456,0.14205467451783393,max_iter,,0.0034136714378757518,5.826576342884352e-06,0.0024166892578704746,0.0020395593445308724,0.0024166892578704746,nan,nan
msd,250,20,2502125,0.5,nan,0.03,0.01,20.0,0.5,1500,16,0.001,100,100,full_batch,1,1500,2000,False,0.00039935602213081456,0.14205467451783393,max_iter,,0.00323132266963917,5.220723097662006e-06,0.0024119278971511116,0.0020368013722882328,0.0024119278971511116,nan,nan
