K,n,seed,gamma,alpha,eps,kappa,tau,small_time_s,small_success,small_eta,mcp_time_s,mcp_success,mcp_eta
5,20,52123,0.5,0.05,0.01,5,5,2942.4276080830023,True,0.0081617368545015,0.6384776667691767,False,
5,20,52124,0.5,0.05,0.01,5,5,3576.049877792131,False,0.01862461336740273,0.5816764999181032,False,2.8943927646411556
5,20,52125,0.5,0.05,0.01,5,5,2966.3315943330526,False,0.010018610772588032,0.43753462517634034,False,
5,20,52126,0.5,0.05,0.01,5,5,1862.9273081663996,True,0.00998315411597428,0.6112557500600815,False,
5,20,52127,0.5,0.05,0.01,5,5,715.9361111246981,True,0.009851771299299705,0.35811949986964464,False,0.040140526485325845
5,20,52128,0.5,0.05,0.01,5,5,116.92952195834368,True,4.440892098500626e-15,0.3051184588111937,True,-9.481304630298837e-14
5,20,52129,0.5,0.05,0.01,5,5,1234.784888875205,True,0.009921673423253119,0.4855410000309348,False,
5,20,52130,0.5,0.05,0.01,5,5,690.7958908751607,True,0.0038109990435908347,0.34632741706445813,True,6.517009154549669e-14
5,20,52131,0.5,0.05,0.01,5,5,1690.8245700406842,True,0.008134868221670866,0.6653779172338545,False,0.865365445915796
5,20,52132,0.5,0.05,0.01,5,5,64.1506559997797,True,0.003327741132355788,0.41188595769926906,False,0.04014650209511805
5,20,52133,0.5,0.05,0.01,5,5,489.7380603342317,True,0.0032902575276380075,0.3698958749882877,False,0.019302550124452145
5,20,52134,0.5,0.05,0.01,5,5,3.8705482501536608,True,0.009943414248031912,0.591884708032012,False,
5,20,52135,0.5,0.05,0.01,5,5,1629.480007709004,True,0.0031680035154662,0.6232749577611685,False,
5,20,52136,0.5,0.05,0.01,5,5,1204.1270716250874,True,0.007606576450572833,0.6154761668294668,False,4.481259424725097
5,20,52137,0.5,0.05,0.01,5,5,3753.3969047912396,False,0.010788363296242443,0.7095562922768295,False,
5,20,52138,0.5,0.05,0.01,5,5,62.338041874580085,True,0.00937952176153789,0.39717637514695525,True,-5.202838160300871e-12
5,20,52139,0.5,0.05,0.01,5,5,339.86424012482166,True,0.00551157823376025,0.5176136246882379,True,-4.8366866067794945e-12
5,20,52140,0.5,0.05,0.01,5,5,3965.441615750082,False,0.012978771176991755,0.6131451660767198,False,
5,20,52141,0.5,0.05,0.01,5,5,4338.576385916211,False,0.013138724291552384,0.7066331249661744,False,
5,20,52142,0.5,0.05,0.01,5,5,3914.908999083098,False,0.012823365814599974,0.5697622080333531,False,
5,50,55123,0.5,0.05,0.01,8,5,5280.764090582728,False,0.04036593736274807,2.6352720842696726,False,
5,50,55124,0.5,0.05,0.01,8,5,2967.696048958227,True,0.003575725397293228,2.9428217909298837,False,
5,50,55125,0.5,0.05,0.01,8,5,4838.1268087499775,False,0.020574377050773363,73.79447608301416,False,
5,50,55126,0.5,0.05,0.01,8,5,1262.5609443746507,True,0.006107369474634861,2.413913542404771,False,
5,50,55127,0.5,0.05,0.01,8,5,4354.955241291784,False,0.023865011190658758,2.805507875047624,False,
5,50,55128,0.5,0.05,0.01,8,5,5367.964716874994,False,0.01741342525877021,2.468106834217906,False,
5,50,55129,0.5,0.05,0.01,8,5,5484.433664165903,False,0.01804759001599765,12.666680249851197,False,
5,50,55130,0.5,0.05,0.01,8,5,5518.051708582789,False,0.0678509258248956,2.4251161250285804,False,
5,50,55131,0.5,0.05,0.01,8,5,365.6771090417169,True,0.005589227941270147,1.8709004581905901,True,-1.0036749209518803e-11
5,50,55132,0.5,0.05,0.01,8,5,4465.403002957813,False,0.013278001500538261,2.397041749674827,False,
5,50,55133,0.5,0.05,0.01,8,5,4098.829962332733,False,0.016290232967459684,1.884947624988854,False,
5,50,55134,0.5,0.05,0.01,8,5,4617.088935958222,False,0.01654365475492159,1.59270229190588,False,
5,50,55135,0.5,0.05,0.01,8,5,2182.2153902919963,True,0.007454273311271575,2.209737583063543,False,
5,50,55136,0.5,0.05,0.01,8,5,4822.991078457795,False,0.010597108890342266,2.2231524996459484,False,
5,50,55137,0.5,0.05,0.01,8,5,4554.161926167086,False,0.011419110455204606,1.3930043750442564,False,4.25786791141531
5,50,55138,0.5,0.05,0.01,8,5,5017.538650042377,False,0.015149235608548639,2.473382500000298,False,
5,50,55139,0.5,0.05,0.01,8,5,1429.7814988750033,True,0.009557711401381619,2.1941870828159153,False,
5,50,55140,0.5,0.05,0.01,8,5,4401.662239833269,False,0.011000269229648363,2.4839463750831783,False,
