risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,theta_step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,start_index,start_iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,3000,3000,2,1500,True,nan,nan,stagnation,,0.7015402990878682,0.24607939562214778,0.024471877503428163,0.019536020755129946,0.024471877503428163,0.500019017171195,0.5104766628244398
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,3100,3100,2,1600,True,nan,nan,stagnation,,0.7012593662735221,0.24588234939317094,0.02421579694569065,0.019103152779288868,0.02421579694569065,0.5000214551901758,0.5104783518087985
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,3200,3200,2,1700,True,nan,nan,stagnation,,0.7010334672596759,0.2457239611090615,0.023996864306052856,0.018708777497870588,0.023996864306052856,0.5000238047809311,0.5104799957839127
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,3300,3300,2,1800,True,nan,nan,stagnation,,0.7008489170347473,0.24559460225438903,0.0238003914731153,0.01835376049804316,0.0238003914731153,0.5000260775518548,0.5104815966945074
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,3400,3400,2,1900,True,nan,nan,stagnation,,0.7006960215993272,0.24548745734256242,0.023624249257336638,0.018033043743759358,0.023624249257336638,0.5000282829262455,0.51048315644529
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,3500,3500,2,2000,True,nan,nan,stagnation,,0.7005677702224594,0.24539760033723435,0.023462532730961883,0.017739329363372525,0.023462532730961883,0.5000304285982192,0.5104846768415916
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,3500,3500,3,0,True,nan,nan,stagnation,,0.41428985668238866,0.08581804267495707,0.07047355430870661,0.06958493724923781,0.07047355430870661,0.4858367045010476,0.5002940808042138
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,3600,3600,3,100,True,nan,nan,stagnation,,1.1022640094049017,0.6074929732146845,0.06248986202195361,0.06248986202195361,0.05844042539370076,0.4856107063611875,0.5000149223724721
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,3700,3700,3,200,True,nan,nan,stagnation,,0.8448799865594453,0.3569110958443442,0.049489875180048104,0.03474030023484298,0.049489875180048104,0.48560763326835243,0.5000153596670276
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,3800,3800,3,300,True,nan,nan,stagnation,,0.7740180463569245,0.2995519680430951,0.060116284122550434,0.04203181863871608,0.060116284122550434,0.48560763326835243,0.5000172154209939
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,3900,3900,3,400,True,nan,nan,stagnation,,0.7475349086874323,0.2794042198531639,0.06228973023890194,0.041854847963125774,0.06228973023890194,0.48560763326835243,0.5000202127686486
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,4000,4000,3,500,True,nan,nan,stagnation,,0.7345519515521325,0.2697832847645232,0.06036564756511287,0.04039996907722043,0.06036564756511287,0.48560763326835243,0.5000233089543404
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,4100,4100,3,600,True,nan,nan,stagnation,,0.7272091163685023,0.2644165494647289,0.06083074726596949,0.039529354397037864,0.06083074726596949,0.48560763326835243,0.5000257682058807
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,4200,4200,3,700,True,nan,nan,stagnation,,0.7229051418874014,0.26129592208362196,0.060592308343452306,0.037614495022212924,0.060592308343452306,0.48560763326835243,0.5000275201318034
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,4200,4200,4,0,True,nan,nan,stagnation,,0.4615983247285868,0.10653650669611894,0.08433228317030383,0.07696138943309938,0.08433228317030383,0.4922083014246929,0.5007377722006044
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,4300,4300,4,100,True,nan,nan,stagnation,,1.0342583209065865,0.5348451371822559,0.052290427189382704,0.028340353018855735,0.052290427189382704,0.49201878242823266,0.5005253916855145
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,4400,4400,4,200,True,nan,nan,stagnation,,0.769454977728634,0.2960304813756863,0.05549318923853952,0.05549318923853952,0.04383834021008093,0.4920358138682494,0.5005350370653392
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,4500,4500,4,300,True,nan,nan,stagnation,,0.7669338975711786,0.2940938016218595,0.12359888325129775,0.12359888325129775,0.06259378644083624,0.492084675888008,0.5005456394279516
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,4600,4600,4,400,True,nan,nan,stagnation,,0.7250812231164103,0.2628713900579948,0.04920017482910011,0.041943798081474304,0.04920017482910011,0.492135871973179,0.5005561381136024
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,4700,4700,4,500,True,nan,nan,stagnation,,0.6567546649896373,0.21566334499282536,0.0719381511286391,0.0719381511286391,0.06164570596915908,0.4922037513956497,0.5005582584055263
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,4800,4800,4,600,True,nan,nan,stagnation,,0.5887677752853506,0.17332374660723057,0.07058796518693133,0.07058796518693133,0.04471295784954077,0.49225893483972744,0.5005583751566979
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,4900,4900,4,700,True,nan,nan,stagnation,,0.5883271995966777,0.1730644468926345,0.07636930462609148,0.07636930462609148,0.051002936956085154,0.4923032370819883,0.5005584688880473
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,5000,5000,4,800,True,nan,nan,stagnation,,0.5648490582564917,0.15952722930662278,0.06144564857810392,0.06144564857810392,0.04458074317347249,0.4923411170942728,0.5005585983853565
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,5100,5100,4,900,True,nan,nan,stagnation,,0.5547544058406882,0.1538762253998275,0.05714658085837315,0.05714658085837315,0.044696759944665265,0.49237417424260943,0.5005586886941132
