K,n,seed,gamma,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,iteration,residual_norm,objective,eta,regret1,regret2
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,minibatch,125,0.0688935953255412,0.002373163738439716,0.01419196978587306,0.013388984188747233,0.01419196978587306
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,minibatch,150,0.06888986524949654,0.0023729067670468958,0.014191768845782438,0.013388738526235289,0.014191768845782438
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,minibatch,175,0.06888641288936216,0.0023726689403818406,0.014191572831036392,0.013388528287050394,0.014191572831036392
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,minibatch,200,0.06888321362634028,0.0023724485597460157,0.014191391574056855,0.013388340430434797,0.014191391574056855
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,minibatch,225,0.06888033807205937,0.002372250486460596,0.014191244252664548,0.013388149018152551,0.014191244252664548
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,minibatch,250,0.06887755786280103,0.002372058988571752,0.01419109104636973,0.013387986264223495,0.01419109104636973
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,minibatch,275,0.06887492425720652,0.0023718775957179677,0.014190939708286332,0.01338780928697686,0.014190939708286332
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,minibatch,300,0.06887238986040518,0.0023717030425418214,0.014190798270379668,0.013387657449226709,0.014190798270379668
100,20,1002123,0.5,0.05,0.1,0.01,0.5,300,10,0.001,25,25,full_batch,0,0.041675197615131644,0.0008684110481301372,0.00940034226682579,0.00940034226682579,0.003913588771301324
100,20,1002123,0.5,0.05,0.1,0.01,0.5,300,10,0.001,25,25,full_batch,25,0.04166571546998539,0.0008680159228128899,0.009399991815086994,0.009399991815086994,0.003913467497267731
100,20,1002123,0.5,0.05,0.1,0.01,0.5,300,10,0.001,25,25,full_batch,50,0.04166120198488021,0.0008678278754124932,0.009399825002701534,0.009399825002701534,0.003913409776458376
100,20,1002123,0.5,0.05,0.1,0.01,0.5,300,10,0.001,25,25,full_batch,75,0.04165772872734862,0.0008676831813606832,0.00939969663663065,0.00939969663663065,0.003913365361004506
100,20,1002123,0.5,0.05,0.1,0.01,0.5,300,10,0.001,25,25,full_batch,100,0.04165479739019322,0.0008675610728090239,0.009399588299676798,0.009399588299676798,0.003913327877151596
100,20,1002123,0.5,0.05,0.1,0.01,0.5,300,10,0.001,25,25,full_batch,125,0.04165221333952217,0.0008674534380405342,0.009399492798265241,0.009399492798265241,0.003913294835374059
100,20,1002123,0.5,0.05,0.1,0.01,0.5,300,10,0.001,25,25,full_batch,150,0.041649876372166175,0.0008673561009083632,0.009399406428933776,0.009399406428933776,0.003913264953992468
