K,n,seed,gamma,epsilon,epsilon_scr,kappa,tau,max_candidates,n_screen_starts,n_support_starts,screen_maxiter,support_maxiter,methods,dual_success,dual_time_s,dual_eta,dual_regret1,dual_regret2,dual_screen_eta,dual_support_eta,dual_dual_eta,dual_support_violation,dual_mcp_time_s,dual_solver,dual_candidate_index,dual_has_profile,dual_best_dev1_success,dual_best_dev2_success,dual_error,restricted_mcp_success,restricted_mcp_time_s,restricted_mcp_eta,restricted_mcp_regret1,restricted_mcp_regret2,restricted_mcp_screen_eta,restricted_mcp_support_eta,restricted_mcp_dual_eta,restricted_mcp_support_violation,restricted_mcp_mcp_time_s,restricted_mcp_solver,restricted_mcp_candidate_index,restricted_mcp_has_profile,restricted_mcp_best_dev1_success,restricted_mcp_best_dev2_success,restricted_mcp_error,eta_diff_mcp_minus_dual,time_ratio_mcp_over_dual,x_l1_mcp_minus_dual,y_l1_mcp_minus_dual
5,10,51123,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,0.5570249166339636,0.007995568885955873,0.007995568885436954,0.007995568885955873,nan,0.007995568885955873,0.007995568885602801,1.121935877534952e-12,nan,,4,True,True,True,,False,0.9146272498182952,nan,nan,nan,nan,nan,nan,nan,nan,,,False,nan,nan,Cannot load a SolverResults object with bad status: error,nan,1.6419862424562275,nan,nan
5,10,51124,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,1.171479708980769,0.0001000088290977752,0.0001000088290977752,0.00010000882815985879,nan,0.0001000088290977752,0.00010000882810723981,6.72095712417331e-12,nan,,9,True,True,True,,True,0.3066476248204708,0.0032845548545732406,0.0032845548545732406,0.0,nan,0.0032845548545732406,nan,nan,0.015481040813028812,pathampl,9,True,True,True,,0.0031845460254754654,0.2617609357376456,6.893869338567206e-13,0.14825201840187288
5,10,51125,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,0.12175887497141957,0.0,0.0,0.0,nan,0.0,0.0,5.551115123125783e-16,nan,,1,True,True,True,,True,0.09498233394697309,0.0,0.0,0.0,nan,0.0,nan,nan,0.015316542237997055,pathampl,3,True,True,True,,0.0,0.7800855089147979,1.0186654797335404e-15,0.0
5,10,51126,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,0.8335703327320516,0.0006921326351860824,0.000692132634880549,0.0006921326351860824,nan,0.0006921326351860824,0.0006921326347819645,2.928102205146388e-12,nan,,6,True,True,True,,True,0.19535608310252428,0.00373681683032856,0.00373681683032856,1.1102230246251565e-16,nan,0.00373681683032856,nan,nan,0.018514124676585197,pathampl,6,True,True,True,,0.0030446841951424775,0.23436064772391657,0.026114791931363755,0.03762293575158947
5,10,51127,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,0.4508287915959954,0.001254208196951212,0.0012542081969491026,0.001254208196951212,nan,0.001254208196951212,0.0012542081969401098,1.6764367671839864e-14,nan,,4,True,True,True,,True,0.5325958337634802,0.004626771683418851,0.0027871196771023232,0.004626771683418851,nan,0.004626771683418851,nan,nan,0.016816374845802784,pathampl,16,True,True,True,,0.003372563486467639,1.1813704973855337,2.0,1.4015797101158536
5,10,51128,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,1.3736342089250684,0.005372466298428358,0.00537246627203769,0.005372466298428358,nan,0.005372466298428358,0.005372466276130472,3.6218472665439094e-11,nan,,10,True,True,True,,True,0.46710391575470567,0.0,0.0,0.0,nan,0.0,nan,nan,0.015422833152115345,pathampl,16,True,True,True,,-0.005372466298428358,0.34004971099273645,0.9232211490953978,0.8562766651360236
5,10,51129,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,0.41041945898905396,6.263878304935133e-13,1.9162449405030202e-13,6.263878304935133e-13,nan,6.263878304935133e-13,3.5072901216410923e-13,3.4776541221225082e-12,nan,,2,True,True,True,,True,0.06396187515929341,4.206857084909643e-11,4.206857084909643e-11,2.428135470466941e-11,nan,4.206857084909643e-11,nan,nan,0.0152751668356359,pathampl,2,True,True,True,,4.144218301860292e-11,0.1558451329691931,0.16002197554809747,0.41353812287245284
5,10,51130,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,0.3717264998704195,0.007309170245686336,0.0073091702446778095,0.007309170245686336,nan,0.007309170245686336,0.00730917024321488,6.415756814703855e-12,nan,,3,True,True,True,,True,0.4540304997935891,0.007513015127245226,0.00014864036826789384,0.007513015127245226,nan,0.007513015127245226,nan,nan,0.017669917084276676,pathampl,14,True,True,True,,0.00020384488155889002,1.2214100957339873,2.0,2.0
5,10,51131,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,0.11848258320242167,0.006735826566641845,0.00673582656664129,0.006735826566641845,nan,0.006735826566641845,0.0067358265666411865,7.771561172376096e-16,nan,,1,True,True,True,,True,0.03652979200705886,0.007417828655745029,0.007417828655745029,0.0,nan,0.007417828655745029,nan,nan,0.01732520805671811,pathampl,1,True,True,True,,0.0006820020891031842,0.3083136020477331,0.010809785711295544,0.09278192961692748
5,10,51132,0.5,0.01,0.006666666666666667,4,5,200,1,5,300,500,"dual,restricted_mcp",True,0.26151600014418364,0.005300558003403233,0.005300558003403233,0.005300558003148659,nan,0.005300558003403233,0.005300558001847174,5.224487509281062e-12,nan,,2,True,True,True,,True,0.48774054227396846,0.0,0.0,0.0,nan,0.0,nan,nan,0.01661449996754527,pathampl,16,True,True,True,,-0.005300558003403233,1.8650504825902,2.0,2.0
