,K,n,seed,small_time_s,small_success,small_eta,mcp_time_s,mcp_success,mcp_eta
33,10,20,102126,6.806192459072918,True,0.006459709081151455,0.2838390830438584,True,3.1086244689504383e-15
34,10,20,102127,8.65228470787406,True,0.009040588108926606,0.35482833394780755,True,3.774758283725532e-15
35,10,50,105123,43.31435895897448,False,0.02168645854282525,1.6431069581303746,False,
36,10,50,105124,42.68170612491667,False,0.03395746750736672,1.0203442920465022,True,2.4424906541753444e-15
37,10,50,105125,46.47022279095836,False,0.01581986829825255,1.581975916866213,False,
38,10,50,105126,43.717822917038575,False,0.02376907408085771,0.9772787920664996,False,1.221444719275285
39,10,50,105127,41.05531099997461,False,0.025693147332503163,1.6777354581281543,False,
40,30,5,300623,1.4339858340099454,True,0.00819261449813291,0.10102341696619987,True,3.3306690738754696e-16
41,30,5,300624,0.10436370805837214,True,0.007253666102081446,0.1530897500924766,True,3.5885738824958935e-12
42,30,5,300625,11.673850125167519,True,0.00997949304066914,0.07437345897778869,True,1.4032219830539816e-11
43,30,5,300626,1.1781453338917345,True,0.007141756330729665,0.07773066591471434,True,0.0
44,30,5,300627,1.9889788751024753,True,0.005421834830613148,0.07140079187229276,True,2.220446049250313e-16
45,30,10,301123,1.3326905418653041,True,0.006261813443630748,0.5058789590839297,False,
46,30,10,301124,19.217803958104923,True,0.009120682734134467,0.14659979194402695,True,-1.0524026095026784e-11
47,30,10,301125,3.4173036669380963,True,0.008843047739333976,0.14053758303634822,True,2.220446049250313e-16
48,30,10,301126,14.972205040976405,True,0.007847496805564402,0.4890732921194285,False,
49,30,10,301127,1.2484399999957532,True,0.004185070528322843,0.16122166719287634,True,3.3306690738754696e-16
50,30,20,302123,35.76586795784533,False,0.02226146430436038,0.7221358749084175,True,-1.0558887098000014e-11
51,30,20,302124,35.12253062496893,False,0.019161707461249344,1.3084078340325505,False,
52,30,20,302125,29.765132250031456,False,0.021273899163790078,1.1221634580288082,False,
53,30,20,302126,30.21574224997312,False,0.028685220981137016,1.0886460419278592,False,
54,30,20,302127,29.836147708119825,False,0.024367993166739765,1.0387656670063734,False,
55,30,50,305123,50.22995008411817,False,,5.2020711249206215,False,
56,30,50,305124,48.193807791918516,False,0.031102606297121804,2.9017736250534654,True,-1.0459300092691137e-11
57,30,50,305125,50.11325516598299,False,,4.478993291966617,False,
58,30,50,305126,47.21689466596581,False,,4.55213408311829,False,
59,30,50,305127,48.786331166978925,False,0.033587267889225614,4.7802336669992656,False,
60,100,5,1000623,0.29252474987879395,True,0.0021468593238296307,0.5241569171193987,True,1.6653345369377348e-16
61,100,5,1000624,0.27568279206752777,True,0.002421711365319157,0.7850887079257518,True,-5.273876890754536e-10
62,100,5,1000625,2.947094624862075,True,0.008861339570395255,0.202042207820341,True,-2.1716817233397023e-10
63,100,5,1000626,0.9068111251108348,True,0.008219395099764604,1.2736627080012113,True,-1.900701818158268e-12
64,100,5,1000627,0.19872749992646277,True,0.0016587712295533241,0.4917599158361554,True,1.6114887202434147e-12
65,100,10,1001123,8.09191224980168,True,0.0075303705097778395,0.6826968749519438,True,-4.096167849354515e-12
66,100,10,1001124,12.228144582826644,True,0.0059732607878437705,0.6291027918923646,True,-3.44727579815185e-11
67,100,10,1001125,0.9004197500180453,True,0.007468326973053774,1.6726512918248773,False,
68,100,10,1001126,15.849303583847359,True,0.008937080051718005,0.5916132919955999,True,-1.666755622409255e-11
69,100,10,1001127,7.822838250081986,True,0.0022603870640417467,0.7873972500674427,True,-8.521627847812852e-12
70,100,20,1002123,13.182801999850199,True,0.00681287253019236,1.7838196251541376,True,3.3306690738754696e-16
71,100,20,1002124,47.7083500828594,False,0.010839593786971302,4.808637292124331,False,
72,100,20,1002125,50.50693445815705,False,0.011967686153363633,1.8363129580393434,True,-4.755085214469545e-13
73,100,20,1002126,30.361704791896045,True,0.009760608412153204,4.253280291100964,False,
74,100,20,1002127,55.78104379191063,False,0.01234965785672687,5.327955125132576,False,
75,100,50,1005123,92.23839045804925,False,,16.343110916903242,False,
76,100,50,1005124,80.09842529101297,False,,16.462216375162825,False,
77,100,50,1005125,82.54117699991912,False,,15.386557917110622,False,
78,100,50,1005126,86.0812326669693,False,,15.696236042072996,False,
79,100,50,1005127,79.44905579113401,False,,21.40071929106489,False,
80,500,5,5000623,9.006117958109826,True,0.008759212629921631,10.558112374972552,False,
81,500,5,5000624,0.9827811669092625,True,0.006772197425165605,8.046787917148322,False,
82,500,5,5000625,1.4556862500030547,True,0.0017323019179263377,2.6795454169623554,True,-2.139881383200759e-09
83,500,5,5000626,0.2059832918457687,True,0.008861963889376434,6.847630250034854,False,
84,500,5,5000627,1.149253583047539,True,0.007997187902655023,8.157750125043094,True,0.00013665646547433852
85,500,10,5001123,14.774959875037894,True,0.00572400248011623,9.902141874888912,False,
86,500,10,5001124,3.9287036671303213,True,0.009511602484851611,12.478196083102375,False,
87,500,10,5001125,7.169960957951844,True,0.007269350335374847,12.058547375025228,False,
88,500,10,5001126,6.931704042013735,True,0.00809661505115783,14.45777487498708,True,0.008819908764854112
89,500,10,5001127,6.00349779217504,True,0.00907268115246146,12.479987333063036,False,
90,500,20,5002123,16.43936829199083,True,0.00941423544447012,30.314530541887507,False,
91,500,20,5002124,143.7362608751282,False,0.010627600577230112,24.17378883413039,False,
92,500,20,5002125,8.54153549997136,True,0.009654679673545274,23.699662040919065,False,
93,500,20,5002126,18.00193875003606,True,0.007394975047457064,19.67503708298318,False,
94,500,20,5002127,9.531288417056203,True,0.00806569094288867,29.577691707992926,False,
95,500,50,5005123,225.94277266599238,True,0.009109641469647434,90.37619245890528,False,
96,500,50,5005124,194.88507120800205,True,0.00680105269271819,96.21256704209372,False,
97,500,50,5005125,34.938880417030305,True,0.0097742538661032,100.40158424992114,False,
98,500,50,5005126,253.06260025012307,False,0.010707033458648707,97.66727512492798,False,
99,500,50,5005127,18.635343625210226,True,0.008857170722858299,106.05268870899454,False,
